"Category";"Fields of Research (ANZSRC 2020)"
"40 Engineering";189074
"49 Mathematical Sciences";107813
"46 Information and Computing Sciences";94663
"51 Physical Sciences";91226
"37 Earth Sciences";38666
"34 Chemical Sciences";34772
"32 Biomedical and Clinical Sciences";32939
"31 Biological Sciences";22314
"41 Environmental Sciences";13915
"33 Built Environment and Design";11099
"35 Commerce, Management, Tourism and Services";10271
"44 Human Society";10232
"30 Agricultural, Veterinary and Food Sciences";8660
"50 Philosophy and Religious Studies";7947
"52 Psychology";7643
"42 Health Sciences";7278
"38 Economics";6370
"47 Language, Communication and Culture";5985
"36 Creative Arts and Writing";5275
"39 Education";3821
"43 History, Heritage and Archaeology";3794
"48 Law and Legal Studies";1665
